date,category,type,operator,yom,engine,engine_model,flight_phase,flight_type,site,location,country,region,latitude,longitude,aircraft_damage,occupants,fatalities,other_fatalities,cause
1970-01-25,Accident,Fokker F27 Friendship,Royal Nepal Airlines,1965,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"New Delhi-Palam, National Capital Territory of Delhi",India,Asia,28.59560405,77.0808687691127,Destroyed,23,1,0,Weather
1970-01-28,Unknown,De Havilland DH.104 Dove,TAG Airlines,1953,Unknown,Unknown,Takeoff (climb),Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Cleveland-Burke Lakefront, Ohio",United States of America,North America,39.7837304,-100.445882,Unknown,9,9,0,Human factor
1970-01-28,Accident,Antonov AN-24,Aeroflot - Russian International Airlines,1965,Multi Turboprop Engines,Ivchenko AI-24,Landing (descent or approach),Scheduled Revenue Flight,Mountains,"Batagay, Republic of Yakutia (Sakha)",Russia,Asia,64.6863136,97.7453061,Destroyed,34,34,0,Human factor
1970-01-29,Unknown,Swearingen SA26T Merlin II,Private American,1969,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Cleveland-Cuyahoga County, Ohio",United States of America,North America,41.4996574,-81.6936772,Unknown,4,1,0,Human factor
1970-01-29,Accident,Tupolev TU-124,Aeroflot - Russian International Airlines,1965,Multi Jet Engines,Soloviev D-20P,Landing (descent or approach),Scheduled Revenue Flight,Mountains,"Kilpyavr AFB, Murmansk oblast",Russia,Asia,64.6863136,97.7453061,Destroyed,38,11,0,Human factor
1970-01-30,Accident,Antonov AN-24,United Arab Airlines,1966,Multi Turboprop Engines,Ivchenko AI-24,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Luxor, Luxor",Egypt,Africa,25.702096,32.647186,Destroyed,0,0,0,Technical failure
1970-01-31,Accident,Douglas C-47 Skytrain (DC-3),Colombian Air Force - Fuerza Aérea Colombiana,1951,Multi Piston Engines,Unknown,Takeoff (climb),Military,Airport (less than 10 km from airport),"Bogotá-El Dorado, Bogotá Capital District",Colombia,South America,4.61001675,-74.06930256481051,Destroyed,15,0,0,Technical failure
1970-01-31,Accident,PZL-Mielec AN-2,Aeroflot - Russian International Airlines,1951,1 Piston engine,Unknown,Flight,Positioning,"Plain, Valley","Tokmasskiy, Chelyabinsk oblast",Russia,Asia,54.4211195,60.2631287,Destroyed,2,2,0,Human factor
1970-01-31,Accident,Curtiss C-46 Commando,Transportes Aéreos Littoral - TAL,1945,Multi Piston Engines,Unknown,Flight,Cargo,Mountains,"Mt Vizcacha, Tacna",Peru,South America,-6.8699697,-75.0458515,Destroyed,4,4,0,Human factor
1970-02-03,Unknown,Beechcraft E18,Shenandoah Air,1955,Unknown,Unknown,Landing (descent or approach),Positioning,Airport (less than 10 km from airport),"Weyers Cave-Shenandoah Valley, Virginia",United States of America,North America,39.7837304,-100.445882,Unknown,2,2,0,Technical failure
