name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height
AERO VODOCHODY L-39,AERO VODOCHODY,L-39,,Low wing with wing tip tanks,Fixed Wing,"Regular tail, high set",Jet,Single,8.70 m,12.70 m,4.80 m
AERO (2) L-39 Albatros,AERO VODOCHODY,L-39,,Low wing with wing tip tanks,Fixed Wing,"Regular tail, high set",Jet,Single,8.70 m,12.70 m,4.80 m
AERO (2) Albatros,AERO VODOCHODY,L-39,,Low wing with wing tip tanks,Fixed Wing,"Regular tail, high set",Jet,Single,8.70 m,12.70 m,4.80 m
AERO (2) L-139 Albatros,AERO VODOCHODY,L-39,,Low wing with wing tip tanks,Fixed Wing,"Regular tail, high set",Jet,Single,8.70 m,12.70 m,4.80 m
AEROSPATIALE Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
SUD SE-3130 Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
SUD SE-313 Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
SUD SA-3180 Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
SUD SA-318 Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
SUD Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
SUD-EST Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
SUD-EST SE-3130 Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
REPUBLIC SE-3130 Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
REPUBLIC Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
AEROSPATIALE SA-318 Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
AEROSPATIALE Alouette 2,AEROSPATIALE,Alouette 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.20 m,9.70 m,2.75 m
AEROSPATIALE Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
SUD SA-316 Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
SUD SA-319 Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
SUD SE-3160 Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
SUD Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
LICHTWERK Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
LICHTWERK SE-3160 Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
ICA IAR-316 Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
ICA Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
HINDUSTAN SE-3160 Chetak,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
