name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height
AGUSTA Hkp3,BELL,UH-1 Iroquois,,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,14.63 m,17.62 m,4.42 m
AGUSTA AB-204,BELL,UH-1 Iroquois,,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,14.63 m,17.62 m,4.42 m
AGUSTA AB-205,BELL,UH-1 Iroquois,,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,14.63 m,17.62 m,4.42 m
BELL UH-1Y Venom,BELL,UH-1Y Venom,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,14.88 m,17.78 m,4.50 m
BELL UH-1Y,BELL,UH-1Y Venom,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,14.88 m,17.78 m,4.50 m
BELL-BOEING V-22,BELL-BOEING,V-22,Narrow,Three-blade tandem rotors,Rotary,"Double fin, low set",Turboshaft,Multi,25.80 m,17.50 m,6.73 m
BELL-BOEING 901 Osprey,BELL-BOEING,V-22,Narrow,Three-blade tandem rotors,Rotary,"Double fin, low set",Turboshaft,Multi,25.80 m,17.50 m,6.73 m
BELL-BOEING CV-22 Osprey,BELL-BOEING,V-22,Narrow,Three-blade tandem rotors,Rotary,"Double fin, low set",Turboshaft,Multi,25.80 m,17.50 m,6.73 m
BELL-BOEING MV-22 Osprey,BELL-BOEING,V-22,Narrow,Three-blade tandem rotors,Rotary,"Double fin, low set",Turboshaft,Multi,25.80 m,17.50 m,6.73 m
BELL-BOEING V-22 Osprey,BELL-BOEING,V-22,Narrow,Three-blade tandem rotors,Rotary,"Double fin, low set",Turboshaft,Multi,25.80 m,17.50 m,6.73 m
BELL-BOEING Osprey,BELL-BOEING,V-22,Narrow,Three-blade tandem rotors,Rotary,"Double fin, low set",Turboshaft,Multi,25.80 m,17.50 m,6.73 m
BERIEV A-50,BERIEV,A-50,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,50.50 m,49.59 m,14.76 m
ILYUSHIN Be-976,BERIEV,A-50,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,50.50 m,49.59 m,14.76 m
ILYUSHIN A-50,BERIEV,A-50,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,50.50 m,49.59 m,14.76 m
BERIEV A-50,BERIEV,A-50,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,50.50 m,49.59 m,14.76 m
BERIEV Be-976,BERIEV,A-50,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,50.50 m,49.59 m,14.76 m
BERIEV Be-12 Tchaika,BERIEV,Be-12 Tchaika,Narrow,,Fixed Wing,,Turboprop,Multi,29.84 m,30.11 m,7.94 m
BERIEV Be-12 Tchaika,BERIEV,Be-12 Tchaika,Narrow,,Fixed Wing,,Turboprop,Multi,29.84 m,30.11 m,7.94 m
BERIEV Tchaika,BERIEV,Be-12 Tchaika,Narrow,,Fixed Wing,,Turboprop,Multi,29.84 m,30.11 m,7.94 m
BERIEV Be-200 Altair,BERIEV,Be-200 Altair,Narrow,,Fixed Wing,,Jet,Multi,32.80 m,32.00 m,8.90 m
BERIEV Altair,BERIEV,Be-200 Altair,Narrow,,Fixed Wing,,Jet,Multi,32.80 m,32.00 m,8.90 m
BERIEV Be-200 Altair,BERIEV,Be-200 Altair,Narrow,,Fixed Wing,,Jet,Multi,32.80 m,32.00 m,8.90 m
BERIEV A-40 Albatross,BERIEV,A-40 Albatross,Narrow,High swept wing,Fixed Wing,T-tail,Jet,Multi,41.62 m,43.84 m,11.00 m
BERIEV Albatross,BERIEV,A-40 Albatross,Narrow,High swept wing,Fixed Wing,T-tail,Jet,Multi,41.62 m,43.84 m,11.00 m
BERIEV A-40 Albatross,BERIEV,A-40 Albatross,Narrow,High swept wing,Fixed Wing,T-tail,Jet,Multi,41.62 m,43.84 m,11.00 m
BOEING 737 MAX 8,BOEING,737 MAX 8,Narrow,Low wing (winglets),Fixed Wing,"Regular tail, mid set",Jet,Multi,35.90 m,39.50 m,12.30 m
BOEING 737 MAX 9,BOEING,737 MAX 9,Narrow,Low wing (winglets),Fixed Wing,"Regular tail, mid set",Jet,Multi,35.90 m,42.16 m,12.30 m
BOEING B-52 Stratofortress,BOEING,B-52 Stratofortress,Narrow,High swept wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,56.40 m,48.03 m,12.40 m
BOEING Stratofortress,BOEING,B-52 Stratofortress,Narrow,High swept wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,56.40 m,48.03 m,12.40 m
BOEING B-52 Stratofortress,BOEING,B-52 Stratofortress,Narrow,High swept wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,56.40 m,48.03 m,12.40 m
BOEING 707-100,BOEING,707-100,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,39.90 m,44.07 m,12.90 m
BOEING 707-100,BOEING,707-100,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,39.90 m,44.07 m,12.90 m
BOEING 707-300,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
IAI Phalcon,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
NORTHROP GRUMMAN E-8 J-Stars,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
NORTHROP GRUMMAN J-Stars,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING KC-137,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
GRUMMAN E-8 J-Stars,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
GRUMMAN J-Stars,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
IAI 707 Phalcon,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING C-137,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING E-8 J-Stars,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING EC-18,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING EC-137,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING 707-300,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING J-Stars,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING C-18,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m
BOEING 717-200,BOEING,717-200,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.47 m,37.80 m,8.92 m
BOEING 717-200 Business Express,BOEING,717-200,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.47 m,37.80 m,8.92 m
BOEING 717-200,BOEING,717-200,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.47 m,37.80 m,8.92 m
BOEING Business Express,BOEING,717-200,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.47 m,37.80 m,8.92 m
BOEING 727-100,BOEING,727-100,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,32.90 m,40.60 m,10.30 m
BOEING 727-100,BOEING,727-100,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,32.90 m,40.60 m,10.30 m
BOEING C-22,BOEING,727-100,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,32.90 m,40.60 m,10.30 m
BOEING 727-200,BOEING,727-200,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,32.90 m,46.70 m,10.40 m
BOEING 727-200,BOEING,727-200,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,32.90 m,46.70 m,10.40 m
BOEING 737-100,BOEING,737-100,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,28.63 m,11.23 m
BOEING 737-100,BOEING,737-100,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,28.63 m,11.23 m
BOEING 737-200,BOEING,737-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,30.53 m,11.23 m
BOEING 737-200,BOEING,737-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,30.53 m,11.23 m
BOEING 737-200 Surveiller,BOEING,737-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,30.53 m,11.23 m
BOEING CT-43,BOEING,737-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,30.53 m,11.23 m
BOEING VC-96,BOEING,737-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,30.53 m,11.23 m
BOEING Surveiller,BOEING,737-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,30.53 m,11.23 m
BOEING 737-300,BOEING,737-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.90 m,33.44 m,11.10 m
BOEING 737-300,BOEING,737-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.90 m,33.44 m,11.10 m
BOEING 737-400,BOEING,737-400,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.90 m,36.48 m,11.13 m
BOEING 737-400,BOEING,737-400,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.90 m,36.48 m,11.13 m
BOEING 737-500,BOEING,737-500,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.80 m,31.06 m,11.13 m
BOEING 737-500,BOEING,737-500,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.80 m,31.06 m,11.13 m
BOEING 737-600,BOEING,737-600,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,31.27 m,12.60 m
BOEING 737-600,BOEING,737-600,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,31.27 m,12.60 m
BOEING 737-700,BOEING,737-700,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,33.65 m,12.60 m
BOEING Clipper,BOEING,737-700,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,33.65 m,12.60 m
BOEING C-40 Clipper,BOEING,737-700,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,33.65 m,12.60 m
BOEING C-40,BOEING,737-700,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,33.65 m,12.60 m
BOEING 737-700,BOEING,737-700,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,33.65 m,12.60 m
BOEING BBJ,BOEING,737-700,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,33.65 m,12.60 m
BOEING 737-700 BBJ,BOEING,737-700,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,33.65 m,12.60 m
BOEING 737-800,BOEING,737-800,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.32 m,39.50 m,12.60 m
BOEING BBJ2,BOEING,737-800,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.32 m,39.50 m,12.60 m
BOEING 737-800 BBJ2,BOEING,737-800,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.32 m,39.50 m,12.60 m
BOEING 737-800,BOEING,737-800,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.32 m,39.50 m,12.60 m
BOEING 737-900,BOEING,737-900,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,41.94 m,12.60 m
BOEING BBJ3,BOEING,737-900,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,41.94 m,12.60 m
BOEING 737-900 BBJ3,BOEING,737-900,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,41.94 m,12.60 m
BOEING 737-900,BOEING,737-900,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,41.94 m,12.60 m
BOEING 747-100,BOEING,747-100,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING 747-100,BOEING,747-100,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING 747-200,BOEING,747-200,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING VC-25,BOEING,747-200,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING E-4,BOEING,747-200,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING 747-200,BOEING,747-200,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING 747-300,BOEING,747-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING 747-300,BOEING,747-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
"BOEING 747-400 (international, winglets)",BOEING,"747-400 (international, winglets)",Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.40 m,70.60 m,19.40 m
BOEING YAL-1,BOEING,"747-400 (international, winglets)",Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.40 m,70.60 m,19.40 m
"BOEING 747-400 (international, winglets)",BOEING,"747-400 (international, winglets)",Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.40 m,70.60 m,19.40 m
BOEING 747-8,BOEING,747-8,Wide,Low swept wing (Raked wings),Fixed Wing,"Regular tail, low set",Jet,Multi,68.45 m,76.25 m,19.35 m
BOEING 747-8,BOEING,747-8,Wide,Low swept wing (Raked wings),Fixed Wing,"Regular tail, low set",Jet,Multi,68.45 m,76.25 m,19.35 m
"BOEING 747-400 (domestic, no winglets)",BOEING,"747-400 (domestic, no winglets)",Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.40 m
"BOEING 747-400 (domestic, no winglets)",BOEING,"747-400 (domestic, no winglets)",Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.40 m
BOEING 747SR,BOEING,747SR,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING 747SR,BOEING,747SR,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m
BOEING 747SP,BOEING,747SP,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,56.30 m,19.40 m
BOEING 747SP,BOEING,747SP,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,56.30 m,19.40 m
BOEING 757-200,BOEING,757-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,38.10 m,47.30 m,13.60 m
BOEING C-32,BOEING,757-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,38.10 m,47.30 m,13.60 m
BOEING 757-200,BOEING,757-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,38.10 m,47.30 m,13.60 m
BOEING 757-300,BOEING,757-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,38.10 m,54.50 m,13.60 m
BOEING 757-300,BOEING,757-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,38.10 m,54.50 m,13.60 m
BOEING 767-200ER,BOEING,767-200ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,47.60 m,48.50 m,15.90 m
BOEING KC-767,BOEING,767-200ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,47.60 m,48.50 m,15.90 m
BOEING 767-200,BOEING,767-200ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,47.60 m,48.50 m,15.90 m
BOEING 767-300ER,BOEING,767-300ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,47.60 m,54.90 m,15.90 m
BOEING 767-300,BOEING,767-300ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,47.60 m,54.90 m,15.90 m
BOEING 767-400,BOEING,767-400,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,51.90 m,61.40 m,16.80 m
BOEING 767-400,BOEING,767-400,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,51.90 m,61.40 m,16.80 m
BOEING 777-200 / 777-200ER,BOEING,777-200 / 777-200ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.90 m,63.70 m,18.70 m
BOEING 777-200,BOEING,777-200 / 777-200ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.90 m,63.70 m,18.70 m
BOEING 777-200ER,BOEING,777-200 / 777-200ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.90 m,63.70 m,18.70 m
BOEING 777-300,BOEING,777-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.90 m,73.80 m,18.70 m
BOEING 777-300,BOEING,777-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.90 m,73.80 m,18.70 m
BOEING 777-200LR and 777-F,BOEING,777-200LR and 777-F,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,64.80 m,63.70 m,18.60 m
BOEING 777-200LR,BOEING,777-200LR and 777-F,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,64.80 m,63.70 m,18.60 m
BOEING 777-F,BOEING,777-200LR and 777-F,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,64.80 m,63.70 m,18.60 m
BOEING 777-300ER,BOEING,777-300ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.80 m,73.90 m,18.50 m
BOEING 777-300ER,BOEING,777-300ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.80 m,73.90 m,18.50 m
BOEING 787-8 Dreamliner,BOEING,787-8 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,56.70 m,16.90 m
BOEING Dreamliner (Srs.8),BOEING,787-8 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,56.70 m,16.90 m
BOEING 787-8 Dreamliner,BOEING,787-8 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,56.70 m,16.90 m
BOEING 787-9 Dreamliner,BOEING,787-9 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,62.80 m,16.90 m
BOEING Dreamliner (Srs.9),BOEING,787-9 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,62.80 m,16.90 m
BOEING 787-9 Dreamliner,BOEING,787-9 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,62.80 m,16.90 m
BOEING 747 LCF,BOEING,747 LCF,Wide,,Fixed Wing,,Jet,Multi,64.40 m,71.68 m,21.54 m
BOEING Dreamlifter,BOEING,747 LCF,Wide,,Fixed Wing,,Jet,Multi,64.40 m,71.68 m,21.54 m
BOEING 747-400LCF Dreamlifter,BOEING,747 LCF,Wide,,Fixed Wing,,Jet,Multi,64.40 m,71.68 m,21.54 m
BOEING C-135 Stratolifter,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING WC-135,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING TC-135,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING Stratolifter,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING OC-135,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING NKC-135,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING C-135E Stratolifter,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING C-135K Stratolifter,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING C-135C Stratolifter,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING EC-135,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING C-135B Stratolifter,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m
BOEING C-17 Globemaster 3,BOEING,C-17 Globemaster 3,Wide,High wing (winglets),Fixed Wing,T-tail,Jet,Multi,51.80 m,53.00 m,16.80 m
MCDONNELL DOUGLAS Globemaster 3,BOEING,C-17 Globemaster 3,Wide,High wing (winglets),Fixed Wing,T-tail,Jet,Multi,51.80 m,53.00 m,16.80 m
MCDONNELL DOUGLAS C-17 Globemaster 3,BOEING,C-17 Globemaster 3,Wide,High wing (winglets),Fixed Wing,T-tail,Jet,Multi,51.80 m,53.00 m,16.80 m
BOEING CC-177 Globemaster III,BOEING,C-17 Globemaster 3,Wide,High wing (winglets),Fixed Wing,T-tail,Jet,Multi,51.80 m,53.00 m,16.80 m
BOEING Globemaster 3,BOEING,C-17 Globemaster 3,Wide,High wing (winglets),Fixed Wing,T-tail,Jet,Multi,51.80 m,53.00 m,16.80 m
BOEING C-17 Globemaster 3,BOEING,C-17 Globemaster 3,Wide,High wing (winglets),Fixed Wing,T-tail,Jet,Multi,51.80 m,53.00 m,16.80 m
BOEING C-97 Stratofreighter,BOEING,C-97 Stratofreighter,,,Fixed Wing,,Piston,Multi,43.10 m,33.70 m,11.70 m
BOEING C-97 Stratofreighter,BOEING,C-97 Stratofreighter,,,Fixed Wing,,Piston,Multi,43.10 m,33.70 m,11.70 m
BOEING Stratofreighter,BOEING,C-97 Stratofreighter,,,Fixed Wing,,Piston,Multi,43.10 m,33.70 m,11.70 m
BOEING E-3D Sentry,BOEING,E-3D Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.60 m
BOEING Sentry (CFM56),BOEING,E-3D Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.60 m
BOEING E-3D Sentry,BOEING,E-3D Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.60 m
BOEING E-3A (CFM56) Sentry,BOEING,E-3D Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.60 m
BOEING E-3F Sentry,BOEING,E-3D Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.60 m
BOEING E-3 Sentry,BOEING,E-3 Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.70 m
BOEING Sentry (TF33),BOEING,E-3 Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.70 m
BOEING E-3A (TF33) Sentry,BOEING,E-3 Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.70 m
BOEING JE-3 Sentry,BOEING,E-3 Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.70 m
BOEING E-3C Sentry,BOEING,E-3 Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.70 m
BOEING E-3B Sentry,BOEING,E-3 Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.70 m
BOEING E-6 Mercury,BOEING,E-6 Mercury,Narrow,,Fixed Wing,,Jet,Multi,45.20 m,45.80 m,12.90 m
BOEING Mercury,BOEING,E-6 Mercury,Narrow,,Fixed Wing,,Jet,Multi,45.20 m,45.80 m,12.90 m
BOEING E-6 Mercury,BOEING,E-6 Mercury,Narrow,,Fixed Wing,,Jet,Multi,45.20 m,45.80 m,12.90 m
BOEING 737-700 AEWC,BOEING,737-700 AEWC,Narrow,,Fixed Wing,,Jet,Multi,35.80 m,33.60 m,12.50 m
BOEING Wedgetail,BOEING,737-700 AEWC,Narrow,,Fixed Wing,,Jet,Multi,35.80 m,33.60 m,12.50 m
BOEING 737-700 Wedgetail,BOEING,737-700 AEWC,Narrow,,Fixed Wing,,Jet,Multi,35.80 m,33.60 m,12.50 m
BOEING F-15 Strike Eagle,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MCDONNELL DOUGLAS Ra'am,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MCDONNELL DOUGLAS Akef,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MCDONNELL DOUGLAS Baz,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MCDONNELL DOUGLAS F-15 Ra'am,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MCDONNELL DOUGLAS F-15 Eagle,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MCDONNELL DOUGLAS F-15 Baz,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MCDONNELL DOUGLAS Eagle,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MCDONNELL DOUGLAS F-15 Akef,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
MITSUBISHI Eagle,BOEING,F-15 Strike Eagle,Narrow,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,13.00 m,19.40 m,5.60 m
