name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
AEROSPATIALE AS-332L2 Super Puma Mk2,AEROSPATIALE,AS-332L2 Super Puma Mk2,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.20 m,16.79 m,4.97 m,"['EUROCOPTER Super Puma Mk2', 'EUROCOPTER AS-532U2 Cougar Mk2', 'EUROCOPTER AS-532A2 Cougar Mk2', 'EUROCOPTER AS-332L2 Super Puma Mk2', 'EUROCOPTER Cougar Mk2', 'AEROSPATIALE Cougar Mk2', 'AEROSPATIALE Super Puma Mk2', 'AEROSPATIALE AS-332L2 Super Puma Mk2', 'AEROSPATIALE AS-532A2 Cougar Mk2', 'AEROSPATIALE AS-532U2 Cougar Mk2']"
AEROSPATIALE AS-350 Ecureuil,AEROSPATIALE,AS-350 Ecureuil,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.69 m,12.93 m,3.03 m,"['LOT Ecureuil', 'LOT AS-350 Ecureuil', 'HELIBRAS HA-1 Esquilo', 'HELIBRAS UH-50 Esquilo', 'HELIBRAS Esquilo (HB-350)', 'HELIBRAS HB-350 Esquilo', 'HELIBRAS UH-12 Esquilo', 'EUROCOPTER Ecureuil', 'EUROCOPTER Fennec (AS-550)', 'EUROCOPTER Squirrel', 'EUROCOPTER SuperStar', 'EUROCOPTER AS-350 AStar', 'EUROCOPTER AS-350 Ecureuil', 'EUROCOPTER AS-350 SuperStar', 'EUROCOPTER AS-550 Fennec', 'EUROCOPTER AStar', 'CHANGHE Z-11', 'AEROSPATIALE Fennec (AS-550)', 'AEROSPATIALE SuperStar', 'AEROSPATIALE AS-550 Fennec', 'AEROSPATIALE AS-350 AStar', 'AEROSPATIALE AS-350 Ecureuil', 'AEROSPATIALE AS-350 SuperStar', 'AEROSPATIALE AStar', 'AEROSPATIALE Ecureuil']"
AEROSPATIALE AS-355 Ecureuil 2,AEROSPATIALE,AS-355 Ecureuil 2,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Multi,10.69 m,12.94 m,3.03 m,"['HELIBRAS VH-55 Esquilo', 'HELIBRAS CH-55 Esquilo', 'HELIBRAS UH-13 Esquilo', 'HELIBRAS HB-355 Esquilo', 'HELIBRAS Esquilo (HB-355)', 'EUROCOPTER TwinStar', 'EUROCOPTER Fennec (AS-555)', 'EUROCOPTER Twin Squirrel', 'EUROCOPTER AS-355 Ecureuil 2', 'EUROCOPTER AS-355 TwinStar', 'EUROCOPTER AS-555 Fennec', 'EUROCOPTER Ecureuil 2', 'AEROSPATIALE TwinStar', 'AEROSPATIALE AS-355 Ecureuil 2', 'AEROSPATIALE AS-355 TwinStar', 'AEROSPATIALE AS-555 Fennec', 'AEROSPATIALE Ecureuil 2', 'AEROSPATIALE Fennec (AS-555)']"
AEROSPATIALE AS-365 Dauphin 2,AEROSPATIALE,AS-365 Dauphin 2,,Four-blade main rotor,Rotary,Eight-bladed fan tail,Turboshaft,Multi,11.50 m,13.20 m,3.50 m,"['VOUGHT SA-366 Panther 800', 'VOUGHT Panther 800', 'HELIBRAS AS-365 Dauphin 2', 'HELIBRAS AS-565 Panther', 'HELIBRAS HM-1 Panther', 'HELIBRAS Panther', 'HELIBRAS Dauphin 2', 'HARBIN Haitun', 'HARBIN Z-9 Haitun', 'HARBIN WZ-9 Haitun', 'HARBIN H-425 Haitun', 'HARBIN H-410 Haitun', 'EUROCOPTER Dauphin 2', 'EUROCOPTER Panther', 'EUROCOPTER HM-1 Panther', 'EUROCOPTER AS-365 Dauphin 2', 'EUROCOPTER AS-565 Atalef', 'EUROCOPTER AS-565 Panther', 'EUROCOPTER Atalef', 'AEROSPATIALE AS-366 Dolphin', 'AEROSPATIALE AS-565 Panther', 'AEROSPATIALE AS-365 Dauphin 2', 'AEROSPATIALE Dolphin', 'AEROSPATIALE Dauphin 2 (AS-365, SA-365F/N)', 'AEROSPATIALE SA-365F Dauphin 2', 'AEROSPATIALE HH-65 Dolphin', 'AEROSPATIALE Panther', 'AEROSPATIALE SA-365K Panther', 'AEROSPATIALE SA-365M Panther', 'AEROSPATIALE SA-365N Dauphin 2', 'AEROSPATIALE SA-366 Dolphin']"
AEROSPATIALE Super Frelon,AEROSPATIALE,Super Frelon,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,18.90 m,23.03 m,6.66 m,"['SUD SA-321 Super Frelon', 'SUD Super Frelon', 'CHANGHE Z-8', 'AEROSPATIALE SA-321 Super Frelon', 'AEROSPATIALE Super Frelon']"
AEROSPATIALE SA-341 Gazelle,AEROSPATIALE,SA-341 Gazelle,,,Rotary,,Turboshaft,Single,10.50 m,11.97 m,3.15 m,"['WESTLAND Gazelle', 'SUD SA-341 Gazelle', 'SUD SA-342 Gazelle', 'SUD Gazelle', 'SOKO Partizan', 'SOKO SA-341 Partizan', 'SOKO SA-342 Partizan', 'SOKO HO-42 Partizan', 'SOKO HN-45 Partizan', 'SOKO HN-42 Partizan', 'SOKO H-45 Partizan', 'EUROCOPTER Gazelle', 'EUROCOPTER SA-342 Gazelle', 'AEROSPATIALE Gazelle', 'AEROSPATIALE SA-341 Gazelle', 'AEROSPATIALE SA-342 Gazelle', 'ABHCO Gazelle', 'ABHCO SA-342 Gazelle']"
AEROSPATIALE SA-315 Lama,AEROSPATIALE,SA-315 Lama,,Three-blade main rotor,Rotary,Three-blade tail rotor,Turboprop,Single,11.02 m,10.26 m,3.09 m,"['SUD SA-315 Lama', 'SUD Lama', 'HINDUSTAN SA-315 Cheetah', 'HINDUSTAN Lancer', 'HINDUSTAN SA-315 Cheetal', 'HINDUSTAN Cheetal', 'HINDUSTAN Cheetah', 'HINDUSTAN SA-315 Lancer', 'HELIBRAS Gaviao', 'HELIBRAS HB-315 Gaviao', 'EUROCOPTER Lama', 'EUROCOPTER SA-315 Lama', 'AEROSPATIALE SA-315 Lama', 'AEROSPATIALE Lama']"
AEROSPATIALE Mohawk 298,AEROSPATIALE,Mohawk 298,Narrow,High wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,22.60 m,19.30 m,6.20 m,"['NORD Fregate', 'NORD 262 Fregate', 'NORD 262', 'NORD Mohawk 298', 'FRAKES Mohawk 298', 'AEROSPATIALE Mohawk 298', 'AEROSPATIALE N-262', 'AEROSPATIALE Fregate', 'AEROSPATIALE N-262 Fregate']"
AEROSPATIALE SA-330 Puma,AEROSPATIALE,SA-330 Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboprop,Multi,15.00 m,18.15 m,5.14 m,"['WESTLAND Puma', 'SUD SA-330 Puma', 'SUD Puma', 'NURTANIO Puma', 'NURTANIO NSA-330 Puma', 'IAR IAR-330 Puma', 'IAR Puma', 'ICA IAR-330 Puma', 'ICA Puma', 'AEROSPATIALE SA-330 Puma', 'AEROSPATIALE Puma', 'AEROSPATIALE CH-33 Puma']"
AEROSPATIALE SN-601 Corvette,AEROSPATIALE,SN-601 Corvette,Narrow,Low wing with wing tip tanks,Fixed Wing,Cruciform tail,Jet,Multi,12.90 m,13.80 m,4.20 m,"['AEROSPATIALE SN-601 Corvette', 'AEROSPATIALE Corvette']"
AEROSPATIALE - BRITISH AEROSPACE Concorde,AEROSPATIALE - BRITISH AEROSPACE,Concorde,Narrow,Delta wing,Fixed Wing,,Jet,Multi,25.60 m,61.66 m,11.40 m,
AEROSPOOL WT-9 Dynamic,AEROSPOOL,WT-9 Dynamic,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Piston,Single,9.00 m,6.40 m,2.00 m,"['AEROSPOOL Dynamic', 'AEROSPOOL WT-9 Dynamic']"
AEROSTAR (1) 600,AEROSTAR (1),600,Narrow,Mid wing,Fixed Wing,"Regular tail, low set",Piston,Multi,10.41 m,10.61 m,3.70 m,"['TED SMITH Aerostar', 'PIPER PA-60 Aerostar', 'PIPER Aerostar', 'MACHEN Superstar', 'AICSA Aerostar', 'AEROSTAR (1) 601', 'AEROSTAR (1) 600']"
AEROSTAR (1) 200,AEROSTAR (1),200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,10.70 m,7.10 m,2.50 m,"['MOONEY M-20J 201', 'MOONEY Super 21', 'MOONEY M-20G Statesman', 'MOONEY M-20A', 'MOONEY M-20F Executive', 'MOONEY Mark 21', 'MOONEY M-20E Super 21', 'MOONEY Master', 'MOONEY M-20E Chaparral', 'MOONEY M-20L PFM', 'MOONEY M-20D Master', 'MOONEY M-20R Ovation', 'MOONEY M-20C Ranger', 'MOONEY M-20S Eagle', 'MOONEY M-20C Mark 21', 'MOONEY M-20', 'MOONEY M-20B Mark 21', 'MOONEY 201', 'MOONEY M-20J ATS', 'MOONEY Allegro', 'MOONEY 205', 'MOONEY ATS', 'MOONEY MSE', 'MOONEY Chaparral', 'MOONEY Ovation', 'MOONEY Eagle', 'MOONEY M-20J 205', 'MOONEY PFM', 'MOONEY Executive', 'MOONEY M-20J MSE', 'MOONEY Ranger', 'MOONEY M-20J Allegro', 'MOONEY Statesman', 'AEROSTAR (1) 220', 'AEROSTAR (1) 201', 'AEROSTAR (1) 200', 'AEROSTAR (1) 202']"
AGUSTA A-109,AGUSTA,A-109,,Four-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Multi,11.00 m,13.08 m,3.32 m,"['SABCA A-109', 'DENEL A-109', 'AGUSTA Grand', 'AGUSTA Hkp15', 'AGUSTA Power', 'AGUSTA AW-109', 'AGUSTA MH-68 Stingray', 'AGUSTA A-109', 'AGUSTA A-109 Grand', 'AGUSTA A-109 Power', 'AGUSTA AW-109 Grand', 'AGUSTA AW-109 Power', 'AGUSTA AW-109 Nexus', 'AGUSTA A-109 Nexus', 'AGUSTA Nexus', 'AGUSTA Stingray']"
AGUSTA A-119,AGUSTA,A-119,,Four-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.83 m,13.01 m,3.77 m,"['DENEL A-119 Koala', 'DENEL Koala', 'AGUSTA Koala', 'AGUSTA AW-119 Koala', 'AGUSTA A-119 Koala']"
AGUSTA A-129,AGUSTA,A-129,,Four-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Multi,11.90 m,12.16 m,3.42 m,"['AGUSTA Mangusta', 'AGUSTA A-129 Mangusta']"
AGUSTAWESTLAND AW-139,AGUSTAWESTLAND,AW-139,,Five-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,13.80 m,13.53 m,4.95 m,"['BELL-AGUSTA AB-139', 'AGUSTA AW-139', 'AGUSTA AB-139']"
AGUSTAWESTLAND AW-149,AGUSTAWESTLAND,AW-149,Narrow,Five-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,14.60 m,17.57 m,5.06 m,['AGUSTA AW-149']
AGUSTAWESTLAND AW-169,AGUSTAWESTLAND,AW-169,Narrow,Five-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,12.12 m,14.65 m,4.50 m,
AGUSTAWESTLAND AW-189,AGUSTAWESTLAND,AW-189,Narrow,Five-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,14.60 m,17.60 m,5.06 m,
AGUSTAWESTLAND AW-101,AGUSTAWESTLAND,AW-101,,,Rotary,,Turboshaft,Multi,18.59 m,22.85 m,6.65 m,"['KAWASAKI CH-101', 'KAWASAKI MCH-101', 'KAWASAKI KHI-01', 'EHI CH-149 Cormorant', 'EHI Heliliner', 'EHI EH-101 Heliliner', 'EHI EH-101', 'EHI Merlin', 'EHI EH-101 Merlin', 'EHI Cormorant', 'AGUSTAWESTLAND AW-101 Merlin Joint Supporter', 'AGUSTAWESTLAND VH-71 Kestrel', 'AGUSTAWESTLAND AW-101', 'AGUSTAWESTLAND Merlin Joint Supporter', 'AGUSTAWESTLAND EH-101 Merlin Joint Supporter', 'AGUSTAWESTLAND EH-101', 'AGUSTAWESTLAND US-101', 'AGUSTAWESTLAND Kestrel', 'AGUSTAWESTLAND MCH-101']"
AGUSTAWESTLAND AH-11 Super Lynx,AGUSTAWESTLAND,AH-11 Super Lynx,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,12.80 m,15.24 m,3.79 m,"['WESTLAND Lynx Wildcat', 'WESTLAND Battlefield Lynx', 'WESTLAND SH-14 Lynx', 'WESTLAND WG-13 Battlefield Lynx', 'WESTLAND WG-13 Lynx', 'WESTLAND Super Lynx', 'WESTLAND WG-13 Super Lynx', 'WESTLAND AH-11 Super Lynx', 'WESTLAND Lynx', 'WESTLAND AW-159 Lynx Wildcat']"
AIDC F-CK-1 Ching-Kuo,AIDC,F-CK-1 Ching-Kuo,Narrow,,Fixed Wing,,Jet,Multi,9.46 m,14.21 m,4.42 m,"['AIDC F-CK-1 Ching-Kuo', 'AIDC Ching-Kuo']"
AIRBUS A-330-800,AIRBUS,A-330-800,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.00 m,58.82 m,17.92 m,
AIRBUS A-330-900,AIRBUS,A-330-900,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.00 m,63.66 m,16.81 m,
AIRBUS A-330-700 Beluga XL,AIRBUS,A-330-700 Beluga XL,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.30 m,63.10 m,18.90 m,
AIRBUS A-319neo,AIRBUS,A-319neo,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,35.80 m,33.84 m,11.76 m,
AIRBUS A-320neo,AIRBUS,A-320neo,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,35.80 m,37.57 m,11.76 m,
AIRBUS A-321neo,AIRBUS,A-321neo,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,35.80 m,44.51 m,11.76 m,
AIRBUS A-300-600,AIRBUS,A-300-600,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.84 m,54.10 m,16.50 m,"['AIRBUS A-300C4-600', 'AIRBUS A-300F4-600', 'AIRBUS A-300B4-600']"
AIRBUS A-300,AIRBUS,A-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.80 m,53.60 m,16.50 m,"['AIRBUS A-300B4-200', 'AIRBUS A-300B4-2', 'AIRBUS A-300B2-1', 'AIRBUS A-300B4-100', 'AIRBUS A-300B2-100', 'AIRBUS A-300B2-200', 'AIRBUS A-300B2K-3', 'AIRBUS A-300C4-200', 'AIRBUS A-300F4-200', 'AIRBUS A-300B2']"
AIRBUS A-310,AIRBUS,A-310,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,43.90 m,46.66 m,15.80 m,"['AIRBUS Elite', 'AIRBUS A-310', 'AIRBUS CC-150 Polaris', 'AIRBUS Polaris']"
AIRBUS A-318,AIRBUS,A-318,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.10 m,31.44 m,12.56 m,"['AIRBUS A-318 Elite', 'AIRBUS A-318']"
AIRBUS A-319,AIRBUS,A-319,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,35.80 m,33.84 m,11.76 m,"['AIRBUS A-319 ACJ', 'AIRBUS ACJ', 'AIRBUS A-319', 'AIRBUS VC-1 ACJ']"
AIRBUS A-320,AIRBUS,A-320,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,35.80 m,37.57 m,11.76 m,"['AIRBUS A-320', 'AIRBUS A-320 Prestige', 'AIRBUS Prestige (A-320)']"
AIRBUS A-321,AIRBUS,A-321,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,35.80 m,44.51 m,11.76 m,['AIRBUS A-321']
AIRBUS A-330-200,AIRBUS,A-330-200,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.30 m,58.82 m,17.39 m,"['AIRBUS A-330-200', 'AIRBUS Prestige (A-330-200)', 'AIRBUS A-330-200 Prestige']"
AIRBUS A-330-300,AIRBUS,A-330-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.30 m,63.69 m,16.83 m,['AIRBUS A-330-300']
AIRBUS A-340-200,AIRBUS,A-340-200,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.30 m,59.40 m,16.80 m,"['AIRBUS A-340-200', 'AIRBUS A-340-200 Prestige', 'AIRBUS Prestige (A-340-200)']"
AIRBUS A-340-300,AIRBUS,A-340-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.30 m,63.69 m,16.91 m,"['AIRBUS A-340-300', 'AIRBUS Prestige (A-340-300)', 'AIRBUS A-340-300 Prestige']"
AIRBUS A-340-500,AIRBUS,A-340-500,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,63.45 m,67.93 m,17.28 m,"['AIRBUS A-340-500', 'AIRBUS Prestige (A-340-500)', 'AIRBUS A-340-500 Prestige']"
AIRBUS A-340-600,AIRBUS,A-340-600,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,63.45 m,75.36 m,17.22 m,"['AIRBUS A-340-600', 'AIRBUS Prestige (A-340-600)', 'AIRBUS A-340-600 Prestige']"
AIRBUS A350-800,AIRBUS,A350-800,Wide,Low wing (winglets),Fixed Wing,"Regular tail, low set",Jet,Multi,64.75 m,60.54 m,17.05 m,
AIRBUS A350-900,AIRBUS,A350-900,Wide,Low wing (winglets),Fixed Wing,"Regular tail, low set",Jet,Multi,64.75 m,66.80 m,17.05 m,"['AIRBUS A350-900', 'AIRBUS A350 XWB']"
AIRBUS A350-1000,AIRBUS,A350-1000,Wide,Low wing (winglets),Fixed Wing,"Regular tail, low set",Jet,Multi,64.75 m,73.78 m,17.08 m,
AIRBUS A-380-800,AIRBUS,A-380-800,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,79.75 m,72.72 m,24.09 m,"['AIRBUS A-380-800', 'AIRBUS Prestige (A-380-800)', 'AIRBUS A-380-800 Prestige']"
AIRBUS A-300ST,AIRBUS,A-300ST,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.80 m,56.20 m,17.20 m,"['SATIC Beluga', 'SATIC Super Transporter', 'SATIC A-300ST Super Transporter', 'SATIC A-300ST Beluga', 'AIRBUS A-300ST Beluga', 'AIRBUS A-300ST Super Transporter', 'AIRBUS Beluga', 'AIRBUS Super Transporter']"
AIRBUS A400M Atlas,AIRBUS,A400M Atlas,Narrow,High swept wing,Fixed Wing,T-tail,Turboprop,Multi,45.10 m,42.40 m,14.70 m,['AIRBUS A-400M']
AIRBUS HELICOPTERS EC-120 Colibri,AIRBUS HELICOPTERS,EC-120 Colibri,,,Rotary,,Turboshaft,Single,10.00 m,9.60 m,3.40 m,"['HARBIN HC-120', 'EUROCOPTER EC-120 Colibri', 'EUROCOPTER Colibri']"
AIRBUS HELICOPTERS H225 Super Puma Mk II+,AIRBUS HELICOPTERS,H225 Super Puma Mk II+,Narrow,,Rotary,,Turboshaft,Multi,16.20 m,19.50 m,4.97 m,"['EUROCOPTER EC-725 Caracal', 'EUROCOPTER Caracal', 'AIRBUS HELICOPTERS H-225 Super Puma Mk2+', 'AIRBUS HELICOPTERS H-225 Cougar Mk2+', 'AIRBUS HELICOPTERS Super Puma Mk2+', 'AIRBUS HELICOPTERS Cougar Mk2+', 'AIRBUS HELICOPTERS EC-225 Super Puma Mk2+', 'AIRBUS HELICOPTERS EC-725 Cougar Mk2+', 'EUROCOPTER Super Puma Mk2+', 'EUROCOPTER EC-725 Cougar Mk2+', 'EUROCOPTER EC-225 Super Puma Mk2+', 'EUROCOPTER Cougar Mk2+']"
AIRBUS HELICOPTERS EC-130,AIRBUS HELICOPTERS,EC-130,,,Rotary,,Turboshaft,Single,10.69 m,10.68 m,3.34 m,['EUROCOPTER EC-130']
AIRBUS HELICOPTERS EC-135,AIRBUS HELICOPTERS,EC-135,Narrow,Four-blade main rotor,Rotary,Six-blade tail rotor,Turboshaft,Multi,10.20 m,12.16 m,3.51 m,"['EUROCOPTER EC-135', 'EUROCOPTER EC-635']"
AIRBUS HELICOPTERS EC-145,AIRBUS HELICOPTERS,EC-145,,,Rotary,,Turboshaft,Multi,11.00 m,13.03 m,3.45 m,"['EUROCOPTER UH-72 Lakota', 'EUROCOPTER Lakota', 'EUROCOPTER UH-145', 'EUROCOPTER-KAWASAKI Lakota', 'EUROCOPTER-KAWASAKI UH-145', 'EUROCOPTER-KAWASAKI UH-72 Lakota', 'EUROCOPTER-KAWASAKI BK-117C-2', 'EUROCOPTER-KAWASAKI EC-145']"
AIRBUS HELICOPTERS EC-155,AIRBUS HELICOPTERS,EC-155,Narrow,,Rotary,,Turboshaft,Multi,12.60 m,14.30 m,4.35 m,['EUROCOPTER EC-155']
AIRBUS HELICOPTERS EC-175,AIRBUS HELICOPTERS,EC-175,Narrow,,Rotary,,Turboshaft,Multi,14.80 m,15.68 m,5.34 m,
AIRBUS HELICOPTERS NHIndustries NH90,AIRBUS HELICOPTERS,NHIndustries NH90,Narrow,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,16.30 m,16.13 m,5.23 m,"['NHI NH-90', 'NHI Hkp 14', 'NHI MRH-90', 'PATRIA Hkp 14', 'PATRIA NH-90', 'AUSTRALIAN AEROSPACE MRH-90']"
AIRBUS HELICOPTERS EC-665,AIRBUS HELICOPTERS,EC-665,,Four-blade main rotor,Rotary,Three-blade tail rotor,Turboshaft,Multi,13.00 m,14.80 m,3.83 m,"['EUROCOPTER EC-665 Tiger', 'EUROCOPTER EC-665 Tigre', 'EUROCOPTER Tiger', 'EUROCOPTER Tigre', 'AUSTRALIAN AEROSPACE Tiger', 'AUSTRALIAN AEROSPACE EC-665 Tiger']"
ALENIA C-27J Spartan,ALENIA,C-27J Spartan,Narrow,High wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,28.70 m,22.70 m,10.50 m,"['ALENIA Spartan (C-27J)', 'ALENIA C-27J Spartan']"
ALENIA G-222,ALENIA,G-222,Narrow,,Fixed Wing,,Turboprop,Multi,28.70 m,22.70 m,9.80 m,"['ALENIA Spartan (C-27A)', 'ALENIA G-222', 'ALENIA C-27A Spartan', 'AERITALIA G-222']"
AMX Alenia AMX,AMX,Alenia AMX,Narrow,High wing,Fixed Wing,"Regular tail, low set",Jet,Single,8.90 m,13.23 m,4.55 m,"['EMBRAER A-1', 'EMBRAER AMX', 'AERMACCHI Ghibli', 'AERMACCHI AMX Ghibli', 'ALENIA Ghibli', 'ALENIA AMX Ghibli', 'AMX AMX', 'AMX Ghibli', 'AMX AMX Ghibli', 'AMX A-1', 'AERITALIA AMX Ghibli', 'AERITALIA Ghibli']"
ANTONOV An-124 Ruslan,ANTONOV,An-124 Ruslan,Narrow,High wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,73.30 m,69.10 m,20.78 m,"['ANTONOV Ruslan', 'ANTONOV An-124 Ruslan']"
ANTONOV An-140,ANTONOV,An-140,Narrow,High wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,25.51 m,26.61 m,8.23 m,"['HESA IRAN-140 Faraz', 'HESA Faraz', 'ANTONOV An-140']"
ANTONOV An-225 Mriya,ANTONOV,An-225 Mriya,Wide,High wing,Fixed Wing,"Double fin, low set",Jet,Multi,88.50 m,84.00 m,18.10 m,"['ANTONOV Mriya', 'ANTONOV An-225 Mriya']"
ANTONOV An-12,ANTONOV,An-12,Narrow,High wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,38.00 m,33.10 m,10.53 m,"['SHAANXI Y-8', 'ANTONOV An-12']"
ANTONOV An-22 Antheus,ANTONOV,An-22 Antheus,Narrow,High wing,Fixed Wing,"Double fin, mid set",Turboprop,Multi,64.40 m,57.90 m,12.50 m,"['ANTONOV Antheus', 'ANTONOV An-22 Antheus']"
ANTONOV An-24,ANTONOV,An-24,Narrow,High wing,Fixed Wing,"Regular tail, high set",Turboprop,Multi,29.20 m,23.50 m,8.30 m,"['XIAN Y-7-100', 'XIAN Y-7-200', 'XIAN Y-7E', 'ANTONOV An-24']"
ANTONOV An-26,ANTONOV,An-26,Narrow,High wing,Fixed Wing,"Regular tail, high set",Turboprop,Multi,29.90 m,23.80 m,8.60 m,"['XIAN Y-7H', 'ANTONOV An-26']"
ANTONOV An-30,ANTONOV,An-30,Narrow,High wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,29.20 m,24.30 m,8.30 m,['ANTONOV An-30']
ANTONOV An-32 Sutlej,ANTONOV,An-32 Sutlej,Narrow,High wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,29.20 m,23.70 m,8.80 m,"['ANTONOV An-32 Sutlej', 'ANTONOV An-32', 'ANTONOV An-32 Firekiller', 'ANTONOV Firekiller', 'ANTONOV Sutlej']"
ANTONOV An-38,ANTONOV,An-38,Narrow,High wing,Fixed Wing,"Double fin, mid set",Turboprop,Multi,22.10 m,15.50 m,4.30 m,['ANTONOV An-38']
ANTONOV An-70,ANTONOV,An-70,Narrow,High wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,44.10 m,40.70 m,16.10 m,['ANTONOV An-70']
ANTONOV An-72,ANTONOV,An-72,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,31.90 m,28.10 m,8.70 m,"['ANTONOV An-72', 'ANTONOV An-74-100', 'ANTONOV An-74-200']"
ATR ATR-42-300/320,ATR,ATR-42-300/320,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,24.60 m,22.70 m,7.60 m,"['ATR ATR-42-300', 'ATR ATR-42-200', 'ATR ATR-42-320', 'AEROSPATIALE ATR-42-320', 'AEROSPATIALE ATR-42-300', 'AEROSPATIALE ATR-42-200', 'AI(R) ATR-42-300', 'AI(R) ATR-42-320', 'ALENIA ATR-42-300', 'ALENIA ATR-42-320', 'AERITALIA ATR-42-200', 'AERITALIA ATR-42-300', 'AERITALIA ATR-42-320']"
ATR ATR-42-500,ATR,ATR-42-500,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,24.60 m,22.70 m,7.60 m,"['ATR ATR-42-500 Surveyor', 'ATR ATR-42-500', 'ATR Surveyor (ATR-42-500)', 'AEROSPATIALE ATR-42-500', 'AEROSPATIALE ATR-42-500 Surveyor', 'AEROSPATIALE Surveyor (ATR-42-500)', 'AI(R) ATR-42-500', 'ALENIA Surveyor (ATR-42-500)', 'ALENIA ATR-42-500 Surveyor', 'ALENIA ATR-42-500']"
ATR ATR-42-600,ATR,ATR-42-600,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,24.57 m,22.67 m,7.59 m,['ATR ATR-42-600']
ATR ATR-72-201,ATR,ATR-72-201,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,27.10 m,27.20 m,7.70 m,"['ATR ATR-72', 'AERITALIA ATR-72', 'AEROSPATIALE ATR-72', 'AI(R) ATR-72', 'ALENIA ATR-72']"
ATR ATR-72-210,ATR,ATR-72-210,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,27.05 m,27.17 m,7.65 m,
ATR ATR-72-500,ATR,ATR-72-500,Narrow,High wing,,T-tail,Turboprop,Multi,27.05 m,27.17 m,7.65 m,"['ATR ATR-72-500', 'ATR ATR-72-210A']"
ATR ATR-72-600,ATR,ATR-72-600,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,27.05 m,27.17 m,7.65 m,
